AccountID,TransactionAmount,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDay,Location_Encoded,Channel_Encoded,Merchant_Encoded,TransactionAmount_Scaled,TransactionDay_Scaled,Cluster_KMeans,Cluster_Agglo,Cluster_KMeans_Opt
AC00128,14.089999999999975,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,101.0,36,0,14,-1.0529559477429022,-0.7767313448879799,0,1,0
AC00455,376.24,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,178.0,15,0,51,0.40279855205264903,-0.05203520568577946,1,2,1
AC00019,126.29000000000002,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,191.0,23,2,8,-0.6019393665553807,0.07031609054316347,0,1,0
AC00070,184.5,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,125.0,33,2,1,-0.36794939159169443,-0.5508520287730083,0,1,0
AC00411,13.449999999999989,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,289.0,1,2,90,-1.0555285913432588,0.992656631345964,2,0,1
AC00393,92.15,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,93.0,28,0,53,-0.7391738236119046,-0.852024450259637,1,2,1
AC00199,7.079999999999984,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,46.0,39,0,18,-1.0811344346780583,-1.2943714443181231,0,1,0
AC00069,171.42,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,128.0,16,1,19,-0.42052779517398303,-0.5226171142586369,0,1,0
AC00135,106.23000000000002,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,80.0,11,1,34,-0.6825756644040588,-0.97437574648858,1,1,0
AC00385,815.96,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,90.0,26,0,6,2.170365495722675,-0.8802593647740086,0,1,0
AC00150,17.78000000000003,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,73.0,0,2,72,-1.0381230494845959,-1.04025721368878,2,0,1
AC00459,190.02,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,37.0,22,2,29,-0.3457603405386185,-1.3790761878612374,0,1,0
AC00392,494.52,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,158.0,23,1,56,0.8782552474435581,-0.24026796911492243,1,2,1
AC00264,781.76,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,324.0,22,0,24,2.032889853328617,1.3220639673469643,0,1,0
AC00085,166.99,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,44.0,21,2,16,-0.4383353125952015,-1.3131947206610373,0,1,0
AC00270,465.45,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,346.0,10,0,24,0.7614009514086095,1.5291200071190214,0,1,0
AC00317,555.8,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,303.0,2,1,47,1.1245858721777051,1.124419565746364,1,2,0
AC00359,492.93,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,348.0,8,2,58,0.8718638359989223,1.5479432834619358,1,0,1
AC00242,18.680000000000007,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,52.0,0,1,53,-1.0345052694215944,-1.2379016152893803,1,2,1
AC00285,71.48000000000002,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,159.0,8,2,38,-0.8222621723921726,-0.23085633094346528,1,2,0
AC00002,59.31999999999999,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,59.0,20,1,39,-0.8711424007989486,-1.17202014808918,1,2,0
AC00014,85.76999999999998,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,223.0,19,1,64,-0.7648198645029599,0.3714885120297922,1,2,1
AC00095,52.19999999999999,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,157.0,1,2,21,-0.8997630608529161,-0.24967960728637958,0,1,0
AC00453,345.84,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,122.0,13,2,82,0.2805979810357091,-0.5790869432873798,2,0,1
AC00241,145.54,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,61.000000000000014,33,2,27,-0.5245590707634041,-1.1531968717462657,0,1,0
AC00041,7.490000000000009,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,293.0,15,2,42,-1.0794863348715797,1.0303031840317927,1,2,0
AC00441,246.93,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,107.0,24,0,28,-0.11699604788815648,-0.720261515859237,0,1,0
AC00057,40.31999999999999,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,88.0,25,1,7,-0.9475177576845359,-0.8990826411169228,0,1,0
AC00390,127.44999999999999,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,24.0,19,2,91,-0.5972764500297345,-1.5014274840901802,2,0,1
AC00313,56.170000000000016,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,263.0,11,1,42,-0.8838046310194537,0.7479540388880781,1,2,0
AC00367,28.310000000000002,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,198.0,24,2,90,-0.9957950227474782,0.1361975577433635,2,0,1
AC00291,59.120000000000005,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,37.0,3,0,52,-0.87194635192406,-1.3790761878612374,1,2,1
AC00060,396.45,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,268.0,27,0,6,0.48403781324516054,0.7950122297453639,0,1,0
AC00359,877.81,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,71.99999999999999,20,2,93,2.4189873811633893,-1.0496688518602373,2,0,1
AC00365,255.26,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,300.0,37,1,1,-0.08351148352726481,1.0961846512319926,0,1,0
AC00267,124.75999999999999,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,289.0,39,1,1,-0.6080895926624834,0.992656631345964,0,1,0
AC00404,78.13,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,325.0,25,1,27,-0.7955307974822171,1.3314756055184214,0,1,0
